S/N,Category,Intent Type,Question/Article,Answer,1,Digital Club Free Trial,Unnamed: 2,Am I eligible for the 1 month free trial on FairPrice Digital Club?,"All FairPrice online customers who have not been a Digital Club member for the past 6 months are eligible for the 1st-month free trial. To check your eligibility, visit the sign-up page with your registered account.

Eligible customers will be able to see $0.00 on the payment page for their 1st month subscription. "
,,HTML Formatted,I put in the wrong item in my order. How can I change it?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
,,HTML Formatted,I would like to add more stuff to my order.,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
3,Top FAQs for FairPrice Online,HTML Formatted,Can I change my delivery address or delivery date after placing an order?,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,HTML Formatted,How to edit delivery address after placing an order?,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,HTML Formatted,I just bought something but my address is wrong. How can I change it?,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,HTML Formatted,Incorrect address on the order,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new
",,,,,
,,HTML Formatted,I put in the wrong address on my order.,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
,,HTML Formatted,want to receive order at my parent's house.,"For home deliveries, you may change your delivery address or delivery date by informing us at least 24 hours before the scheduled delivery. Otherwise, there will be a charge of $7 for the amendment. For bulk orders, there is a fee of $30 to make the change and will be charged to the same credit card that was used to pay for the order; It will be a separate charge from the original order payment.

Do note that the delivery date can be postponed only up to 7 days later and is only allowed a one-time amendment. Should you require to make further amendment due to exigencies, please cancel the order and place a new one.  Amendment to an earlier date will be subject to slot availability. Please submit your request via the web form below
https://help.fairprice.com.sg/hc/en-us/requests/new",,,,,
4,Top FAQs for FairPrice Online,HTML Formatted,I have discovered missing/damaged items in my delivery order. What should I do?,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
,,HTML Formatted,Why my order is broken,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
,,HTML Formatted,one of my item is lost which I ordered.,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
,,HTML Formatted,I have a complain about missing/damage item,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
,,HTML Formatted,"I got the package, but one of my items is missing/damaged.","Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
,,HTML Formatted,I received damaged / defective item.,"Our sincere apologies. Please report the issue within 7 days of delivery (3 days for fresh items) via the steps below to report your missing or damaged items. Our Customer Service Officers will respond within 48 hours.
Click below to proceed to the Order Management Form. If you are not signed in, you will first be redirected to log in. 
https://help.fairprice.com.sg/hc/en-us/requests/new

Submit and our Customer Service Officers will get back to you within 48 hours.

Find more details on the following link.
https://help.fairprice.com.sg/hc/en-us/articles/360021635012-I-have-discovered-missing-damaged-items-in-my-delivery-order-What-should-I-do-",,,,,
5,Top FAQs for FairPrice Online,HTML Formatted,How do I submit feedback through the webform?,"For orders and account-related issues, please follow the steps below:

Click below to visit our Help Centre
https://help.fairprice.com.sg/hc/en-us

For other enquiries, please follow the steps below:

Click below to visit our Help Centre
https://help.fairprice.com.sg/hc/en-us

We'll do our best to respond to your feedback as soon as possible.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,,,,
,,HTML Formatted,where can I leave feedback?,"For orders and account-related issues, please follow the steps below:

Click below to visit our Help Centre
https://help.fairprice.com.sg/hc/en-us

For other enquiries, please follow the steps below:

Click below to visit our Help Centre
https://help.fairprice.com.sg/hc/en-us

We'll do our best to respond to your feedback as soon as possible.

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021636552-How-do-I-submit-feedback-through-the-webform-",,,,,
6,Top FAQs for FairPrice Online,,"What is an e-invoice, where can I find my e-invoice?","An electronic invoice (e-invoice) is a form of electronic billing. Paper invoices will no longer be issued to you upon delivery or collection.

The invoice will be ready for viewing after the order is delivered. To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts.",,,,,
,,,Where does my e-invoice go to?,"An electronic invoice (e-invoice) is a form of electronic billing. Paper invoices will no longer be issued to you upon delivery or collection.

The invoice will be ready for viewing after the order is delivered. To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts.",,,,,
,,,help me find my electronic receipt of order,"An electronic invoice (e-invoice) is a form of electronic billing. Paper invoices will no longer be issued to you upon delivery or collection.

The invoice will be ready for viewing after the order is delivered. To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts.",,,,,
,,,I didn't receive my order invoice,"An electronic invoice (e-invoice) is a form of electronic billing. Paper invoices will no longer be issued to you upon delivery or collection.

The invoice will be ready for viewing after the order is delivered. To view/print the invoice, you may login at https://www.fairprice.com.sg/accounts.",,,,,
,Top FAQs for FairPrice Online,,Why are we sending Push Notification Settings (PNS) instead of SMS?,"This is to provide you real-time updates on your order, and ensure that these updates are sent to the intended customer. You can also trust that the source of information is always secure and accurate. SMSes can be easily overlooked or deleted.",,,,,
,,,I didn't receive SMS of my order,"This is to provide you real-time updates on your order, and ensure that these updates are sent to the intended customer. You can also trust that the source of information is always secure and accurate. SMSes can be easily overlooked or deleted.",,,,,
,Top FAQs for FairPrice Online,,Why am I not receiving PNSes?,"You will have to download the FairPrice app and enable notifications in order to receive push notifications. To enable notifications, please follow steps below
https://www.whatismybrowser.com/guides/how-to-enable-cookies/auto",,,,,
,,,unable to receive push notification,"You will have to download the FairPrice app and enable notifications in order to receive push notifications. To enable notifications, please follow steps below
https://www.whatismybrowser.com/guides/how-to-enable-cookies/auto",,,,,
,Top FAQs for FairPrice Online,,Can i opt out of receiving order update PNSes?,You will only be able to turn off PNS at device level. Opting out of PNS at app level is not possible as these fulfilment updates are transactional. ,,,,,
,,,don't want to receive push notification anymore,You will only be able to turn off PNS at device level. Opting out of PNS at app level is not possible as these fulfilment updates are transactional. ,,,,,
7,Account,,How do I enable cookies to log into FairPrice?,"What are cookies and why are they helpful?
Cookies are files created by websites you visit. They make your online experience easier by saving browsing information on your browser. With cookies, you can:

Keep you signed in - to improve your shopping experience
Remember your site preferences - to manage your personal shopping list
Give you locally relevant content - to bring you the best offers
How do I enable cookies on my Internet Browser?
On popular browsers, such as Chrome, Edge, or Safari, you can go into the browser's settings under Privacy/Security settings to unblock cookies. Do note that cookies are unblocked by default on any new devices, and you will only need to unblock cookies if they had been explicitly blocked.

Here are some guides on how to enable cookies for specific browsers:

Google Chrome
Samsung Internet
Apple Safari
iPhone Safari
Mozilla Firefox
Microsoft Edge
If you do not know which browser you are on (or not shown above), click below on your device to automatically go to the correct guide.
https://www.whatismybrowser.com/guides/how-to-enable-cookies/auto

Third-party cookies are not required to be enabled for FairPrice to keep you logged in.",,,,,
,,,help me enable cookies to signin your platform,"What are cookies and why are they helpful?
Cookies are files created by websites you visit. They make your online experience easier by saving browsing information on your browser. With cookies, you can:

Keep you signed in - to improve your shopping experience
Remember your site preferences - to manage your personal shopping list
Give you locally relevant content - to bring you the best offers
How do I enable cookies on my Internet Browser?
On popular browsers, such as Chrome, Edge, or Safari, you can go into the browser's settings under Privacy/Security settings to unblock cookies. Do note that cookies are unblocked by default on any new devices, and you will only need to unblock cookies if they had been explicitly blocked.

Here are some guides on how to enable cookies for specific browsers:

Google Chrome
Samsung Internet
Apple Safari
iPhone Safari
Mozilla Firefox
Microsoft Edge
If you do not know which browser you are on (or not shown above), click below on your device to automatically go to the correct guide.
https://www.whatismybrowser.com/guides/how-to-enable-cookies/auto

Third-party cookies are not required to be enabled for FairPrice to keep you logged in.",,,,,
8,Account,,How do I opt-in for the FairPrice app push notifications on my mobile phone?,"You can allow push notifications on your mobile phone with the steps below:
Step 1: Tap on phone settings
Step 2: Tap on Notifications
Step 3: Tap on FairPrice App
Step 4: Tap to turn on Notifications",,,,,
,,,like to receive push notification on mobile,"You can allow push notifications on your mobile phone with the steps below:
Step 1: Tap on phone settings
Step 2: Tap on Notifications
Step 3: Tap on FairPrice App
Step 4: Tap to turn on Notifications",,,,,
9,Account,,Will I need to manage 2 different accounts through the single login screen?,"No, you will not be managing 2 different accounts. Your FairPrice account has simply been rebranded to NTUC Link, and all credentials (email address/mobile number/password) and memberships stay the same.
 
Simply use your existing FairPrice credentials to continue to log in.",,,,,
,,,process to login to multiple accounts,"No, you will not be managing 2 different accounts. Your FairPrice account has simply been rebranded to NTUC Link, and all credentials (email address/mobile number/password) and memberships stay the same.
 
Simply use your existing FairPrice credentials to continue to log in.",,,,,
10,Account,,What are the key benefits of a single login screen?,"There are many benefits as we move towards a single login screen:

You are able to access your favourite services through a single login screen at any time, on any device. You can easily remember one email address and password to stay logged in, within a single device, and access various services across FairPrice Group. We have also introduced signing up with a mobile number for users who do not frequent their email. 
You will be able to manage all of your personal information within a single account. Information that was updated on your account will be automatically propagated across connected services across various FairPrice Group. 
You will be able to access a single preferences page to manage all of your consent across different businesses and receive offerings from FairPrice Group. You will have full control of your consent to receive marketing materials or not. ",,,,,
,,,why should I login with single login screen?,"There are many benefits as we move towards a single login screen:

You are able to access your favourite services through a single login screen at any time, on any device. You can easily remember one email address and password to stay logged in, within a single device, and access various services across FairPrice Group. We have also introduced signing up with a mobile number for users who do not frequent their email. 
You will be able to manage all of your personal information within a single account. Information that was updated on your account will be automatically propagated across connected services across various FairPrice Group. 
You will be able to access a single preferences page to manage all of your consent across different businesses and receive offerings from FairPrice Group. You will have full control of your consent to receive marketing materials or not. ",,,,,
,,,advantages of single login screen,"There are many benefits as we move towards a single login screen:

You are able to access your favourite services through a single login screen at any time, on any device. You can easily remember one email address and password to stay logged in, within a single device, and access various services across FairPrice Group. We have also introduced signing up with a mobile number for users who do not frequent their email. 
You will be able to manage all of your personal information within a single account. Information that was updated on your account will be automatically propagated across connected services across various FairPrice Group. 
You will be able to access a single preferences page to manage all of your consent across different businesses and receive offerings from FairPrice Group. You will have full control of your consent to receive marketing materials or not. ",,,,,
11,Account,,What is the new login screen?,"From 20 September 2021, accounts under FairPrice will be rebranded into NTUC Link.

As FairPrice has multiple brands and retail formats under the same organisation, the expansion to FairPrice Group (FPG) drives greater efficiencies and cater to your evolving food needs.

FPG now offers you easy access to manage your profile information, privacy, and security to make the most out of our services. You may continue to use your FairPrice email address or mobile number to securely login for all FairPrice digital services such as FairPrice mobile apps, fairprice.com.sg, Online Groceries and Scan & Go.
https://www.fairprice.com.sg/our-retail-formats/",,,,,
,,,What extra features new login screen brings,"From 20 September 2021, accounts under FairPrice will be rebranded into NTUC Link.

As FairPrice has multiple brands and retail formats under the same organisation, the expansion to FairPrice Group (FPG) drives greater efficiencies and cater to your evolving food needs.

FPG now offers you easy access to manage your profile information, privacy, and security to make the most out of our services. You may continue to use your FairPrice email address or mobile number to securely login for all FairPrice digital services such as FairPrice mobile apps, fairprice.com.sg, Online Groceries and Scan & Go.
https://www.fairprice.com.sg/our-retail-formats/",,,,,
12,Account,HTML Formatted,How do I set my preference notification for FairPrice promotion and/or Link Rewards Programme marketing communications?,"You can set your preference notifications with the steps below:
 
On Mobile Web or Desktop

1. Click on ""Account""

2. Click on ""Notification""

For FairPrice, you will be able to select ""Email"", and/or ""Text message"".

For Link Rewards Programme, you will be able to select ""Email"", ""Text message"", ""Voice"", ""Mail"".

Find more details on the following link
 https://help.fairprice.com.sg/hc/en-us/articles/4403964559257-How-do-I-set-my-preference-notification-for-FairPrice-promotion-and-or-Link-Rewards-Programme-marketing-communications-",,,,,
13,Account,,MyInfo verification on FairPrice,"Why is FairPrice asking for MyInfo verification?
It is for an upcoming feature where we are able to accurately and automatically identify our customer for purchasing of controlled and age-restricted items.

MyInfo verification is optional and we can remove the verification and all the associated data that you have previously shared with us. Once removed, you might have to do so through the same process. 
So long you wish to purchase alcohol in-store, verifying your age through NRIC is still required by customers. 
In order for senior citizens to be entitled for Merdeka Generation/Pioneer Generation/Senior discounts, physical verfication is required by our staff at our physical stores.
",,,,,
,,,Is my info verification is required?,"Why is FairPrice asking for MyInfo verification?
It is for an upcoming feature where we are able to accurately and automatically identify our customer for purchasing of controlled and age-restricted items.

MyInfo verification is optional and we can remove the verification and all the associated data that you have previously shared with us. Once removed, you might have to do so through the same process. 
So long you wish to purchase alcohol in-store, verifying your age through NRIC is still required by customers. 
In order for senior citizens to be entitled for Merdeka Generation/Pioneer Generation/Senior discounts, physical verfication is required by our staff at our physical stores.
",,,,,
14,Account,HTML Formatted,How do I add or delete my credit/debit card details?,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,,,
,,HTML Formatted,add details of new credit / debit card,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,,,
,,HTML Formatted,I like to change my credit card details,"You can add or delete your credit/debit card by following the below steps.

Add via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Delete via app

https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-

Via desktop

1. Click on ""Account""

2. Click on ""Payment"" and ""Add payment method""

3. Enter your credit/debit card details and click ""Add Card""

4. You can remove by doing a mouse over on the 3 dots for the specific credit card and click ""Delete"" 

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042437931-How-do-I-add-or-delete-my-credit-debit-card-details-",,,,,
15,Account,HTML Formatted,How do I add a new address?,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,,,,
,,HTML Formatted,change address in my account,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,,,,
,,HTML Formatted,modify my address mentioned in account,"You can add a new address by following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021672-How-do-I-add-a-new-address-

Via desktop

1. Click on ""Account""
2. Click on ""Address"" and ""Add address""
3. Enter the postal code
4. Enter your address details and click ""Add address""",,,,,
16,Account,HTML Formatted,How do I change my profile details and/or password?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,,,
,,HTML Formatted,add/delete info in my profile,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,,,
,,HTML Formatted,How do I change my profile info?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,,,
,,HTML Formatted,How do I update my profile information?,"You can change your profile details following the below steps.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-

Via desktop

1. Click on ""Account""
2. Click on ""Manage profile""
From there, you will be able to change your ""Preferred name"", ""Mobile number"", ""Email"" and ""Password"".

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360042021592-How-do-I-change-my-profile-details-and-or-password-",,,,,
19,Account,HTML Formatted,How do I sign up for an account,"You can sign up for an account either by desktop or app.

Via app
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-

 Via desktop

1. Visit our FairPrice website
2. Click ""Login""
3. Enter your email address and click ""Next""
 4: Enter your profile details and click ""Submit""

Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021634372-How-do-I-sign-up-for-an-account-",,,,,
